Respondent ID,How old are you?,How many banks did you interact with for the last year?,I am satisfied with my banking interactions for the last year,It was easy to solve all my problems,I've been satisfied with response time,I prefer dialog interaction over phone calls,I can identify when I talk with a chatbot,I am satisfied with chatbots,I trust humans more than chatbots
0,0,1,3,1,3,0,1,4,4
1,0,4,2,0,3,1,0,4,0
2,0,3,4,0,3,4,1,4,0
3,1,1,2,4,3,0,2,3,1
4,0,2,2,3,0,3,1,2,1
5,0,2,2,2,3,2,0,4,1
6,0,3,3,2,2,2,1,1,1
7,0,4,2,2,2,1,0,3,1
8,0,1,2,1,2,0,2,1,3
9,0,1,3,2,3,3,0,4,1
10,0,4,3,3,2,3,1,4,0
11,0,2,1,4,3,3,1,4,3
12,0,3,3,3,3,2,0,2,3
13,0,1,3,1,3,2,0,3,3
14,0,2,2,2,4,1,1,4,4
15,0,3,2,0,1,0,2,3,1
16,0,1,2,4,2,1,1,2,0
17,0,5,2,3,1,0,0,4,0
18,0,5,4,1,2,0,1,3,0
19,0,1,3,1,3,0,1,3,4
20,0,1,2,3,1,1,2,3,2
21,0,2,4,1,1,2,0,4,0
22,0,5,4,2,2,3,1,4,1
23,0,1,2,3,1,1,2,4,4
24,0,1,1,1,2,1,3,4,0
25,0,2,2,3,2,1,1,2,0
26,0,1,4,1,2,2,2,1,1
27,0,1,3,3,1,1,1,2,2
28,0,2,3,4,3,2,1,2,3
29,0,2,4,1,3,2,0,4,1
30,1,1,4,3,3,1,0,4,2
31,0,1,2,3,3,4,2,3,0
32,0,1,3,3,2,1,0,4,0
33,0,2,3,2,2,1,1,2,1
34,0,1,3,2,2,1,1,3,3
35,0,1,2,1,3,1,1,2,4
36,0,4,3,4,2,2,0,2,1
37,0,2,2,0,2,2,2,3,0
38,0,3,3,4,2,1,1,4,1
39,1,1,2,0,2,0,3,3,4
40,0,5,4,1,1,2,1,2,2
41,1,4,2,4,3,2,2,2,2
42,0,1,3,1,1,0,2,2,1
43,0,1,3,4,2,2,2,4,2
44,0,3,2,1,1,3,1,2,2
45,0,3,2,3,4,1,1,3,3
46,1,5,1,2,3,4,0,4,3
47,1,2,2,3,2,1,2,3,0
48,0,4,4,4,0,1,2,3,1
49,0,3,2,3,0,2,2,3,4
50,0,1,3,2,0,3,2,2,1
51,0,2,1,1,2,1,2,1,0
52,0,4,4,2,1,4,0,3,2
53,0,4,2,2,3,0,2,2,2
54,0,2,2,4,2,1,1,1,3
55,0,2,3,1,2,1,2,2,2
56,0,1,3,1,2,1,1,3,0
57,0,1,2,3,3,2,2,3,3
58,0,4,2,3,2,0,0,3,4
59,0,2,3,2,3,1,1,2,3
60,0,1,2,3,2,2,2,3,0
61,1,2,4,4,1,4,0,2,2
62,0,3,3,4,1,1,2,3,0
63,1,3,3,2,1,0,3,4,1
64,0,1,2,3,2,4,1,3,1
65,0,2,3,2,2,2,2,2,4
66,1,2,2,4,2,1,0,2,0
67,0,4,3,3,4,1,1,2,0
68,0,2,2,1,1,0,1,1,2
69,0,2,2,3,2,3,1,4,1
70,0,2,1,3,1,1,1,3,1
71,0,1,2,2,3,2,1,3,1
72,0,1,2,4,0,2,2,4,2
73,0,3,2,2,2,1,0,2,2
74,0,5,3,3,1,4,2,2,1
75,0,2,4,4,0,0,0,0,1
76,0,2,4,2,2,1,0,4,0
77,0,1,2,4,2,3,1,4,1
78,0,2,3,3,3,1,1,4,1
79,0,5,3,4,2,2,0,3,4
80,0,3,2,1,1,2,2,1,0
81,0,2,2,1,2,1,2,3,3
82,0,4,3,3,2,1,1,4,2
83,0,1,3,0,3,1,2,2,1
84,0,2,3,2,2,1,1,1,2
85,0,5,3,0,2,1,0,4,3
86,0,2,2,1,1,1,3,4,3
87,0,2,3,0,3,2,1,2,3
88,0,1,4,1,3,1,0,3,0
89,0,2,1,1,3,4,1,3,1
90,0,5,0,2,3,2,2,2,3
91,0,1,2,2,3,1,2,4,2
92,0,4,3,1,2,1,0,4,4
93,0,4,3,2,3,1,0,2,3
94,0,4,4,2,2,4,2,3,2
95,1,3,1,4,3,0,1,3,0
96,0,4,2,2,4,1,1,3,3
97,0,2,1,0,2,2,1,1,1
98,0,2,1,1,3,3,2,3,2
99,0,2,4,4,3,1,2,3,0
100,0,1,2,3,3,2,1,4,1
101,0,4,1,0,2,4,2,0,1
102,0,2,2,2,2,2,1,2,2
103,0,1,2,1,4,1,2,2,0
104,0,2,0,3,3,1,2,3,0
105,0,2,2,2,3,3,1,3,0
106,0,1,3,0,4,1,1,2,1
107,0,1,3,4,3,0,1,2,0
108,0,2,2,4,3,1,1,4,2
109,1,3,1,2,2,2,2,3,1
110,0,2,4,3,4,2,0,3,0
111,1,2,3,1,2,2,1,3,4
112,0,1,3,4,0,2,2,3,3
113,0,1,3,1,2,4,1,3,0
114,0,1,1,0,1,1,3,2,3
115,0,2,2,0,2,1,1,4,0
116,1,4,2,0,2,2,2,2,0
117,0,4,1,4,2,3,1,1,1
118,0,4,4,3,1,0,1,4,3
119,1,4,0,2,3,4,1,4,0
120,0,1,3,2,0,1,2,4,0
121,1,4,2,0,3,2,0,3,2
122,0,3,2,3,3,4,2,2,1
123,1,1,3,2,1,0,1,1,2
124,1,1,2,3,1,1,3,4,3
125,0,1,2,3,2,1,0,4,0
126,1,3,2,3,2,1,0,2,0
127,0,1,3,3,2,1,1,4,2
128,1,1,4,0,4,1,1,4,0
129,0,3,2,1,3,4,0,4,0
130,0,1,3,2,1,1,0,4,1
131,0,1,0,3,4,1,1,3,0
132,0,1,3,3,3,1,0,2,0
133,0,2,3,0,2,1,3,3,0
134,0,1,3,0,2,2,0,4,2
135,0,1,2,1,2,1,0,3,0
136,0,3,3,2,2,1,2,4,1
137,0,2,3,4,2,3,2,3,2
138,0,1,3,3,2,0,2,4,0
139,1,2,2,4,2,4,2,2,2
140,0,1,3,3,1,1,0,4,3
141,0,1,2,1,3,1,2,4,0
142,0,2,3,1,3,1,0,4,4
143,1,1,0,1,3,1,1,3,1
144,0,1,1,1,1,4,0,4,3
145,0,5,4,1,2,1,2,3,3
146,1,2,3,3,2,4,1,3,1
147,0,1,4,1,1,1,1,2,0
148,0,2,1,2,1,1,1,2,1
149,0,4,1,3,2,3,1,4,2
150,0,1,4,3,1,1,1,3,0
151,1,1,2,0,1,1,0,1,0
152,1,1,3,3,2,1,3,3,0
153,0,3,2,2,2,2,0,2,2
154,0,1,1,3,1,1,1,3,1
155,1,3,3,0,3,0,1,4,2
156,1,3,1,3,1,1,0,4,1
157,0,2,2,2,2,1,1,3,1
158,0,1,3,4,2,4,1,3,0
159,0,5,2,1,2,0,2,2,2
160,0,4,2,2,2,1,1,3,2
161,0,2,3,3,3,2,1,2,2
162,0,1,1,3,2,1,1,1,2
163,1,3,2,1,2,1,1,3,0
164,2,2,3,0,2,1,1,4,0
165,0,2,4,2,2,1,2,3,0
166,1,1,3,0,2,3,1,3,4
167,0,3,3,3,3,3,1,2,1
168,0,1,3,2,4,4,1,1,1
169,0,1,3,4,1,4,1,3,0
170,0,5,4,3,2,2,2,3,0
171,0,4,3,2,3,1,0,3,2
172,0,1,4,2,2,2,1,3,1
173,0,4,1,1,4,1,2,3,0
174,0,1,3,3,2,3,3,3,0
175,0,5,2,2,2,0,2,3,0
176,0,3,1,1,2,2,1,4,4
177,1,2,4,2,2,0,1,4,3
178,0,1,2,2,2,1,1,2,2
179,0,1,2,1,2,1,1,2,2
180,0,4,2,0,1,1,1,3,0
181,0,1,1,2,2,3,2,3,2
182,0,4,2,4,2,4,2,2,1
183,1,5,3,1,2,0,2,2,2
184,0,2,3,1,2,2,2,1,2
185,0,1,1,4,2,1,0,3,2
186,0,4,2,4,3,3,1,3,0
187,1,5,4,2,2,2,2,2,4
188,0,3,4,0,2,4,2,3,1
189,0,2,2,3,1,1,1,3,2
190,0,1,3,3,2,2,1,1,1
191,0,1,4,0,3,1,1,3,0
192,0,1,2,3,1,1,3,2,0
193,0,3,2,2,2,2,0,3,3
194,0,2,3,1,2,3,1,3,1
195,1,1,2,3,2,1,2,4,3
196,0,1,3,2,1,4,0,3,0
197,0,3,1,3,4,1,1,3,1
198,0,1,0,1,1,3,1,4,1
199,0,2,2,1,2,2,0,4,4
200,1,1,2,1,4,1,3,3,2
201,1,4,2,2,3,2,0,3,3
202,0,5,0,3,2,1,0,4,2
203,0,1,3,2,1,1,1,1,1
204,1,1,1,4,3,1,0,3,0
205,0,1,3,2,2,1,3,3,0
206,1,5,1,2,3,3,0,2,2
207,1,4,2,2,0,1,2,3,0
208,0,1,2,1,2,1,2,3,0
209,0,1,4,0,2,1,1,3,2
210,0,3,2,0,2,1,0,3,0
211,0,4,3,1,0,1,0,4,2
212,0,5,0,4,1,4,0,3,1
213,0,1,1,0,2,1,0,4,3
214,0,4,2,1,2,1,1,2,0
215,0,3,1,1,3,1,1,3,1
216,0,2,3,3,1,0,2,4,2
217,1,5,2,4,3,0,1,3,3
218,0,1,3,0,2,1,0,2,0
219,0,3,4,0,2,3,0,2,1
220,0,1,4,1,2,1,2,2,0
221,0,1,4,3,3,1,2,4,1
222,0,5,1,1,1,1,1,2,1
223,0,1,3,1,2,0,0,2,1
224,0,3,2,0,1,2,0,3,0
225,0,2,3,4,3,3,3,4,1
226,0,4,3,1,1,1,0,2,2
227,0,1,3,0,3,2,1,4,2
228,0,1,2,1,4,1,2,2,3
229,0,1,2,0,1,3,2,2,1
230,0,4,3,2,3,0,0,3,3
231,0,2,1,4,3,2,1,4,0
232,0,5,3,1,1,4,2,3,0
233,1,4,2,0,3,1,0,4,2
234,1,1,3,4,2,2,0,4,2
235,0,2,1,4,1,2,3,4,2
236,0,1,3,0,2,1,2,0,2
237,0,1,3,1,2,1,1,1,0
238,0,1,2,3,1,4,1,3,1
239,0,4,3,2,3,1,1,2,1
240,1,4,2,1,3,0,1,3,1
241,0,4,3,3,3,1,1,2,1
242,0,1,4,4,1,1,0,3,0
243,0,3,2,3,2,0,1,3,1
244,1,4,4,1,1,2,2,2,1
245,0,1,2,1,2,1,1,1,0
246,1,2,1,1,2,2,2,2,0
247,1,1,2,1,1,3,1,3,2
248,1,1,2,1,1,1,0,2,3
249,1,1,3,0,3,1,1,3,3
250,0,4,3,3,1,2,2,3,3
251,0,2,4,2,3,4,1,2,0
252,1,5,2,2,1,2,2,3,2
253,1,2,1,3,3,2,1,3,3
254,0,1,3,4,1,1,0,2,1
255,0,4,4,3,1,0,1,3,0
256,0,4,4,0,2,1,1,3,0
257,0,1,3,1,3,1,1,2,2
258,0,3,2,2,3,1,0,2,1
259,0,1,3,3,2,3,0,3,3
260,0,1,3,2,3,1,3,4,0
261,0,4,3,1,3,1,3,3,3
262,0,1,4,2,3,1,0,4,1
263,0,1,2,3,3,1,3,2,1
264,0,5,2,3,4,1,0,3,1
265,0,2,1,3,2,1,1,3,3
266,0,1,2,1,3,0,1,4,0
267,0,1,0,0,2,2,2,3,2
